bot or human,userid,text
b,1221525212,Check out #Vintage #Germany #porcelain #trinket #box Roses https://t.co/s60Bk7QPeD #eBay via @eBay Check out #Royal #Porcelain #PORZELLAN #avaria KM #Germany #candleholder candlestick handmade paint bird https://t.co/jbSJvEYGKo #eBay via @eBay Check out #Vintage #Germany Import parrot #bird #figurine #figure #porcelain European Pottery https://t.co/JK4lj39ouB #eBay via @eBay
b,2198146752,#protest #danger #war 1 book grasp of 150 subj site:AtomBomb killed many &amp; many fear it Has it added to Modern World https://t.co/8VczNlNUwg #economists History's 1st book of its kind site: Cannot 1 party #China demonetise like #Modi https://t.co/gp9KpsjOLS https://t.co/McfhJfV9Su #PUtin #putinazo #putinkiller #putinday Empowering encyclopedia site:#Syrian #Problem ?sol https://t.co/NYjxalUq7p https://t.co/SrG8l83vl0
b,2982513384,"Mixed Punch #Butterfly Caterpillars (Dodona ouida, Riodinidae)
https://t.co/NwVdyL73ck
#insect #China #Yunnan #entomology #Lepidoptera #caterpillar #itchydogimages https://t.co/m9m6TaFayy"
b,3346687911,"#China #NEV 2021 subsidies: ¥ 22.203677B
Vehicles approved for subsidies: 1,569,366
Top 10 OEM share: 82.5%
🥇#BYD
🥈Tesla
🥉#GAC
(MIIT) https://t.co/Av0pYNQbdc"
b,4728608742,"Amazon account suspended? eBay account banned? Problems with your ad account?

❗ Find out what you can do about account bans!

&gt;&gt; https://t.co/plFUTW98iY

#accountban #ebayseller #amazonseller #ecommerce #affiliate #affiliatetips https://t.co/ULFpzZunzA"
b,799610377122131972,@BlackthornDish @bolno_i_smechno @oksana_seme The Bruh
b,863454944682283009,"✨ Twitch Affiliate SANSANMAKINSAN has been unbanned after 1 week, 18 minutes!

https://t.co/bePLIQF5PE
#unban #csharp #twitch #sansanmakinsan #affiliate 🔨 Twitch affiliate bukhadhour has been banned!

https://t.co/JFHZv5fRiz
#ban #csharp #twitch #bukhadhour #affiliate 🔨 Twitch affiliate entre2parties has been banned!

https://t.co/FtuoFwph42
#ban #csharp #twitch #entre2parties #affiliate"
b,1434169821772582920,"Want something to do with your children whilst in the Bavarian Alps, #Germany? Then check out Freizeitpark Ruhpolding, a fun day out! Check out our experience here:

https://t.co/N7hsvFfLRV"
b,1443954660121919492,"@Ralvero Are you looking for #security and #privacy of your data while chatting or sharing your files?

#Cypherdog offers the highest level of security for file transfer, cloud storage, and messaging. 
#CDOG #Biden #cybersecurity #dataprotection https://t.co/WwAJVARVKK @newliisting Are you looking for #security and #privacy of your data while chatting or sharing your files?

#Cypherdog offers the highest level of security for file transfer, cloud storage, and messaging. 
#CDOG #Biden #cybersecurity #dataprotection https://t.co/WwAJVARVKK"
b,1448047748541042689,"Chinatown Film Festival 国際映像
  aug 28th 2022  #jackiechan of china of #losangeles in #china   of movie #jackiechanmovie world karate movie 🎥🎥🎥🎥🎥🎬🎬🎬🎬🎬🎬 https://t.co/2uGClsnRId"
b,1469388088745074693,"@NickYashika My favorite portrait from you 🖤 @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ One piece from my “I am planet Earth” collection 🖤
 #KatoOGgo 
@humilevskyi @alexisolinart @cvatikphotog https://t.co/E8OetzMaFm @krispodobed2 @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ @NickYashika @darklunni Thank you so much for tagging ♥️♥️♥️♥️♥️ @humilevskyi As always 🔥🔥🔥🔥🔥🔥 @dawidimach @NudeYogaGirl @Sadowskaphoto @aylaelmoussa @dominikacuda @punk6529 @bort_tv @PashaYouz @soulthesea_ @faepaulinee @JamesFelixRaw @TwoBrooklyners Yeeeeeeeeee 🔥 Let’s go I’m sooo happy to see my “Origin of Life” displayed like this 🖤
Nude Neighbourhood party in @OM100m 🔥
Thank you sooooo much, girls @NudeYogaGirl ♥️ @aylaelmoussa 
You’re all make this community so fucking amazing 🔥 https://t.co/PHsORpa0TB @alexisolinart @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ @humilevskyi @cvatikphotog @darklunni My mistake 🙈"
